,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
4118,Tones Of Home,Blind Melon,5Cr8DxrjyP2fS93XjGXlFl,https://open.spotify.com/artist/5sD1ZLf2dGQ9gQ3YJl1eAd,0.556,0.808,0,-6.965,1,0.0335,0.166,0.000167,0.164,0.844,115.287,spotify:track:5Cr8DxrjyP2fS93XjGXlFl,https://api.spotify.com/v1/tracks/5Cr8DxrjyP2fS93XjGXlFl,266827,nothot
4119,Le Million,Ste Strausz,05KYNdE7hQHsEsoKp8T9Nh,https://open.spotify.com/artist/73kJL2VEgoK5Rs3ESo805W,0.703,0.652,1,-5.775,1,0.262,0.196,0,0.0547,0.711,85.751,spotify:track:05KYNdE7hQHsEsoKp8T9Nh,https://api.spotify.com/v1/tracks/05KYNdE7hQHsEsoKp8T9Nh,285307,nothot
4120,Tengo Ganas,Andrés Cepeda,18qnAiJIZRemeBljaZtokk,https://open.spotify.com/artist/49Z1AvGeUaBSanPaOmplK6,0.745,0.471,1,-7.518,0,0.0608,0.539,0,0.138,0.545,99.105,spotify:track:18qnAiJIZRemeBljaZtokk,https://api.spotify.com/v1/tracks/18qnAiJIZRemeBljaZtokk,154880,nothot
4121,Runaway Train,Soul Asylum,3TW48DvQ7ChwY1Yy1tkMaP,https://open.spotify.com/artist/02da1vDJ2hWqfK7aJL6SJm,0.613,0.72,0,-7.957,1,0.0425,0.0132,0,0.104,0.561,117.341,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,https://api.spotify.com/v1/tracks/3TW48DvQ7ChwY1Yy1tkMaP,265867,nothot
4122,Ganja Bus,"Cypress Hill, Damian Marley",4QDGjjhg0TFdCAyQz5HVr5,https://open.spotify.com/artist/4P0dddbxPil35MNN9G2MEX,0.614,0.575,11,-6.671,1,0.405,0.0494,0,0.345,0.496,77.114,spotify:track:4QDGjjhg0TFdCAyQz5HVr5,https://api.spotify.com/v1/tracks/4QDGjjhg0TFdCAyQz5HVr5,222373,nothot
4123,Aint No Sunshine,Lighthouse Family,435rQGMojc5C6xJbtjeynu,https://open.spotify.com/artist/6edGSAX5dVpeJVwu1Q0NwJ,0.588,0.706,5,-8.142,0,0.0475,0.0555,0.0776,0.115,0.522,167.999,spotify:track:435rQGMojc5C6xJbtjeynu,https://api.spotify.com/v1/tracks/435rQGMojc5C6xJbtjeynu,221333,nothot
4124,War on war,Wilco,0ZQ0AYmoSQqmPYtI9JP9F9,https://open.spotify.com/artist/2QoU3awHVdcHS8LrZEKvSM,0.65,0.833,9,-8.446,1,0.0297,0.0323,0.00386,0.233,0.677,131.184,spotify:track:0ZQ0AYmoSQqmPYtI9JP9F9,https://api.spotify.com/v1/tracks/0ZQ0AYmoSQqmPYtI9JP9F9,227667,nothot
4125,My Baby Left Me,Creedence Clearwater Revival,3KvQK0HNBjID5vHjlcq6uG,https://open.spotify.com/artist/3IYUhFvPQItj6xySrBmZkd,0.661,0.784,4,-7.056,0,0.0513,0.0171,3e-05,0.0358,0.966,118.751,spotify:track:3KvQK0HNBjID5vHjlcq6uG,https://api.spotify.com/v1/tracks/3KvQK0HNBjID5vHjlcq6uG,138507,nothot
4126,A Pain That Im Used To,Depeche Mode,2G2PdkATB8EADrjHhXQuPP,https://open.spotify.com/artist/762310PdDnwsDxAQxzQkfX,0.555,0.767,10,-4.532,1,0.0308,0.334,0.0562,0.146,0.146,108.093,spotify:track:2G2PdkATB8EADrjHhXQuPP,https://api.spotify.com/v1/tracks/2G2PdkATB8EADrjHhXQuPP,250893,nothot
4127,Even Flow,Pearl Jam,6QewNVIDKdSl8Y3ycuHIei,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,spotify:track:6QewNVIDKdSl8Y3ycuHIei,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,292581,nothot
4128,Whos Cryin Now,Journey,5IK2FtuC0qmHHam9sWFxUI,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,0.57,0.554,9,-9.732,0,0.0288,0.0548,0,0.139,0.372,122.135,spotify:track:5IK2FtuC0qmHHam9sWFxUI,https://api.spotify.com/v1/tracks/5IK2FtuC0qmHHam9sWFxUI,300147,nothot
4129,"Hero,Heroine",Boys Like Girls,1AnesEZjtNHT7Nr2Y4BuNR,https://open.spotify.com/artist/0vWCyXMrrvMlCcepuOJaGI,0.422,0.904,0,-4.531,1,0.102,0.02,4.49e-06,0.686,0.32,163.929,spotify:track:1AnesEZjtNHT7Nr2Y4BuNR,https://api.spotify.com/v1/tracks/1AnesEZjtNHT7Nr2Y4BuNR,232240,nothot
4130,La Rock 01,Vitalic,2NNljOKFmhMxsfK8J5z4eF,https://open.spotify.com/artist/4M84umUNRbZy1mJleyyRM9,0.633,0.695,11,-5.584,0,0.0735,1.58e-06,0.932,0.336,0.555,136.493,spotify:track:2NNljOKFmhMxsfK8J5z4eF,https://api.spotify.com/v1/tracks/2NNljOKFmhMxsfK8J5z4eF,326040,nothot
4131,Wendy Clear,Blink-182,0GvaNolz2vhHikR26yRLmv,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,0.4,0.937,0,-3.892,1,0.0337,0.00029,0,0.0742,0.825,114.233,spotify:track:0GvaNolz2vhHikR26yRLmv,https://api.spotify.com/v1/tracks/0GvaNolz2vhHikR26yRLmv,170400,nothot
4132,Wherever You Will Go,The Calling,5QpaGzWp0hwB5faV8dkbAz,https://open.spotify.com/artist/5aMmmNxw4vgpc5XC6hK0zp,0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,spotify:track:5QpaGzWp0hwB5faV8dkbAz,https://api.spotify.com/v1/tracks/5QpaGzWp0hwB5faV8dkbAz,208600,nothot
