,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
77,At The End Of A Bar,"Chris Young, Mitchell Tenpenny",2NYOqKy4VX6dqVtzrv1Cx9,https://open.spotify.com/artist/4BYxqVkZyFjtik7crYLg5Q,0.494,0.782,3,-4.228,1,0.0409,0.0443,0,0.0921,0.44,75.932,spotify:track:2NYOqKy4VX6dqVtzrv1Cx9,https://api.spotify.com/v1/tracks/2NYOqKy4VX6dqVtzrv1Cx9,186373,hot
78,Truth About You,Mitchell Tenpenny,4Qum1kECNQrpREev5fvAQ4,https://open.spotify.com/artist/1p6CdzJRoicjRcSdWoB9Qc,0.492,0.708,10,-4.639,1,0.0334,0.0975,0,0.12,0.697,161.989,spotify:track:4Qum1kECNQrpREev5fvAQ4,https://api.spotify.com/v1/tracks/4Qum1kECNQrpREev5fvAQ4,203037,hot
79,Pressurelicious,"Megan Thee Stallion, Future",16knHihZqSUCl07ablNPPl,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,0.845,0.723,11,-5.18,1,0.263,0.0112,0,0.107,0.667,146.972,spotify:track:16knHihZqSUCl07ablNPPl,https://api.spotify.com/v1/tracks/16knHihZqSUCl07ablNPPl,173061,hot
80,Cuff It,Beyonce,1xzi1Jcr7mEi9K2RfzLOqS,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,225389,hot
81,Ungrateful,"Megan Thee Stallion, Key Glock",6vA7RdHmU23h3ygUPPFXz5,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,0.94,0.606,1,-5.826,1,0.195,0.0215,0,0.18,0.507,130.0,spotify:track:6vA7RdHmU23h3ygUPPFXz5,https://api.spotify.com/v1/tracks/6vA7RdHmU23h3ygUPPFXz5,154433,hot
82,Pick Me Up,Gabby Barrett,5HL3oKQslS0D9zBkrLVQYs,https://open.spotify.com/artist/6Iz3eq2aQGFf7TbGT2iahL,0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,spotify:track:5HL3oKQslS0D9zBkrLVQYs,https://api.spotify.com/v1/tracks/5HL3oKQslS0D9zBkrLVQYs,169440,hot
83,She Likes It,"Russell Dickerson, Jake Scott",6VVqPBFZIbcmv14zNfOc13,https://open.spotify.com/artist/1E2AEtxaFaJtH0lO7kgNKw,0.79,0.325,4,-11.689,1,0.127,0.509,0,0.155,0.539,126.877,spotify:track:6VVqPBFZIbcmv14zNfOc13,https://api.spotify.com/v1/tracks/6VVqPBFZIbcmv14zNfOc13,163311,hot
84,Despecha,Rosalia,5ildQOEKmJuWGl2vRkFdYc,https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,spotify:track:5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/tracks/5ildQOEKmJuWGl2vRkFdYc,157018,hot
85,Pieces,Rod Wave,6T7tWJsjBpLb95rNqSLcih,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.565,0.558,5,-7.634,1,0.0453,0.379,0,0.0896,0.0778,82.998,spotify:track:6T7tWJsjBpLb95rNqSLcih,https://api.spotify.com/v1/tracks/6T7tWJsjBpLb95rNqSLcih,208193,hot
86,Budget,"Megan Thee Stallion, Latto",3BFxkzhkESwALQxjxOVFgJ,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,0.922,0.858,1,-4.185,1,0.251,0.00451,0,0.124,0.915,145.033,spotify:track:3BFxkzhkESwALQxjxOVFgJ,https://api.spotify.com/v1/tracks/3BFxkzhkESwALQxjxOVFgJ,201979,hot
87,Ghost Story,Carrie Underwood,2FGOg7uYBfnspkPOISXTFY,https://open.spotify.com/artist/4xFUf1FHVy696Q1JQZMTRj,0.479,0.742,7,-5.587,1,0.0539,0.0069,0.000834,0.278,0.454,142.909,spotify:track:2FGOg7uYBfnspkPOISXTFY,https://api.spotify.com/v1/tracks/2FGOg7uYBfnspkPOISXTFY,181400,hot
88,Cooped Up,"Post Malone, Roddy Ricch",52X0A5RTmanvtAgI4D5NS1,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,0.669,0.773,0,-5.619,1,0.153,0.038,0,0.113,0.377,93.923,spotify:track:52X0A5RTmanvtAgI4D5NS1,https://api.spotify.com/v1/tracks/52X0A5RTmanvtAgI4D5NS1,185857,hot
89,Rockstar Heart,Rod Wave,4UiPTfFuP4SLo59Q9KC8Yp,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.516,0.533,0,-8.106,1,0.067,0.684,0,0.188,0.175,76.325,spotify:track:4UiPTfFuP4SLo59Q9KC8Yp,https://api.spotify.com/v1/tracks/4UiPTfFuP4SLo59Q9KC8Yp,137967,hot
90,Puffin On Zootiez,Future,1qMMYpVatbRITKCfq1gasi,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,172933,hot
91,Until I Found You,Stephen Sanchez,0T5iIrXA4p5GsubkhuBIKV,https://open.spotify.com/artist/5XKFrudbV4IiuE5WuTPRmT,0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,177720,hot
92,Plan B,Megan Thee Stallion,3A4U3uNNsMaI1vWBey3VYH,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,0.898,0.522,7,-5.872,1,0.337,0.0674,0,0.108,0.675,85.054,spotify:track:3A4U3uNNsMaI1vWBey3VYH,https://api.spotify.com/v1/tracks/3A4U3uNNsMaI1vWBey3VYH,163765,hot
93,Thought You Should Know,Morgan Wallen,6NHpyYvJyQsg2nXXzGYc2R,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993,spotify:track:6NHpyYvJyQsg2nXXzGYc2R,https://api.spotify.com/v1/tracks/6NHpyYvJyQsg2nXXzGYc2R,215572,hot
94,Time Kills (Love Birds),Rod Wave,1LaBp63783MPDYnE3ohMAN,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.601,0.612,8,-7.65,1,0.0727,0.0508,0,0.164,0.517,154.977,spotify:track:1LaBp63783MPDYnE3ohMAN,https://api.spotify.com/v1/tracks/1LaBp63783MPDYnE3ohMAN,173418,hot
95,Fading,Rod Wave,0Ixokfhum2t1dXWg54hjPn,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.674,0.656,11,-7.506,1,0.0625,0.324,0,0.107,0.38,159.933,spotify:track:0Ixokfhum2t1dXWg54hjPn,https://api.spotify.com/v1/tracks/0Ixokfhum2t1dXWg54hjPn,163500,hot
96,Church Girl,Beyonce,2mqTtvbKxH7SoEQ2oGAnsA,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,0.792,0.919,2,-5.688,1,0.276,0.0381,5.1e-06,0.368,0.22,92.028,spotify:track:2mqTtvbKxH7SoEQ2oGAnsA,https://api.spotify.com/v1/tracks/2mqTtvbKxH7SoEQ2oGAnsA,224473,hot
97,Un Ratito,Bad Bunny,5CzixCxDkRXX9mScCmah8O,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,spotify:track:5CzixCxDkRXX9mScCmah8O,https://api.spotify.com/v1/tracks/5CzixCxDkRXX9mScCmah8O,176936,hot
98,La Corriente,"Bad Bunny, Tony Dize",1797zYiX4cKosMH836X9Gt,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,spotify:track:1797zYiX4cKosMH836X9Gt,https://api.spotify.com/v1/tracks/1797zYiX4cKosMH836X9Gt,198367,hot
99,What My World Spins Around,Jordan Davis,6HBRLaSQ7NB8MNlaqzYen1,https://open.spotify.com/artist/77kULmXAQ6vWer7IIHdGzI,0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/tracks/6HBRLaSQ7NB8MNlaqzYen1,186791,hot
