title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label,links
Smokin In The Boys Room,Mötley Crüe,2gvgvbokPJZ7Uw5u2m5LeP,0.391,0.938,2,-4.86,1,0.0792,0.00177,1.06e-06,0.247,0.654,134.708,spotify:track:2gvgvbokPJZ7Uw5u2m5LeP,https://api.spotify.com/v1/tracks/2gvgvbokPJZ7Uw5u2m5LeP,208400,nothot,https://open.spotify.com/track/2gvgvbokPJZ7Uw5u2m5LeP
Trojan Horse,Bloc Party,4ghgKVQFzDbq4AqdUrv10x,0.394,0.934,1,-3.339,1,0.0795,8.07e-06,0.000408,0.19,0.498,165.002,spotify:track:4ghgKVQFzDbq4AqdUrv10x,https://api.spotify.com/v1/tracks/4ghgKVQFzDbq4AqdUrv10x,212360,nothot,https://open.spotify.com/track/4ghgKVQFzDbq4AqdUrv10x
Bullets,Creed,7rv1mkFBfSvOq48tLGwjvq,0.392,0.946,2,-5.844,1,0.0761,0.000532,0.000149,0.046,0.212,81.373,spotify:track:7rv1mkFBfSvOq48tLGwjvq,https://api.spotify.com/v1/tracks/7rv1mkFBfSvOq48tLGwjvq,229600,nothot,https://open.spotify.com/track/7rv1mkFBfSvOq48tLGwjvq
Olsen Olsen,Sigur Ros,0S9w3jx4cO9rSBcGwB16in,0.19,0.482,2,-11.912,1,0.0469,0.33,0.798,0.0926,0.228,134.418,spotify:track:0S9w3jx4cO9rSBcGwB16in,https://api.spotify.com/v1/tracks/0S9w3jx4cO9rSBcGwB16in,482947,nothot,https://open.spotify.com/track/0S9w3jx4cO9rSBcGwB16in
Little Motel,Modest Mouse,1UR0lWHLSCx2naiD7bq9FW,0.616,0.462,0,-9.135,1,0.0271,0.279,0.00473,0.153,0.23,101.983,spotify:track:1UR0lWHLSCx2naiD7bq9FW,https://api.spotify.com/v1/tracks/1UR0lWHLSCx2naiD7bq9FW,284187,nothot,https://open.spotify.com/track/1UR0lWHLSCx2naiD7bq9FW
Dont Be Shy,Cat Stevens,5zZqoeBLuXCDVdcjggDQdS,0.647,0.375,9,-11.81,1,0.0346,0.847,0.00535,0.1,0.488,135.609,spotify:track:5zZqoeBLuXCDVdcjggDQdS,https://api.spotify.com/v1/tracks/5zZqoeBLuXCDVdcjggDQdS,171293,nothot,https://open.spotify.com/track/5zZqoeBLuXCDVdcjggDQdS
Outshined,Soundgarden,4VwPsMcRt1HPVKIdcwY9Uj,0.485,0.841,2,-6.068,0,0.0307,0.000173,0.00686,0.125,0.551,94.867,spotify:track:4VwPsMcRt1HPVKIdcwY9Uj,https://api.spotify.com/v1/tracks/4VwPsMcRt1HPVKIdcwY9Uj,311000,nothot,https://open.spotify.com/track/4VwPsMcRt1HPVKIdcwY9Uj
I?m A Steady Rollin? Man,Robert Johnson,2fiLNDU98eUDqDSiCadnoz,0.697,0.168,2,-13.181,1,0.0552,0.982,0.0263,0.109,0.609,102.005,spotify:track:2fiLNDU98eUDqDSiCadnoz,https://api.spotify.com/v1/tracks/2fiLNDU98eUDqDSiCadnoz,154733,nothot,https://open.spotify.com/track/2fiLNDU98eUDqDSiCadnoz
Punk,Gorillaz,6PuDxX1F5lw3jp6t8FsWvF,0.495,0.67,8,-7.581,1,0.36,0.00485,0.588,0.085,0.519,153.532,spotify:track:6PuDxX1F5lw3jp6t8FsWvF,https://api.spotify.com/v1/tracks/6PuDxX1F5lw3jp6t8FsWvF,98533,nothot,https://open.spotify.com/track/6PuDxX1F5lw3jp6t8FsWvF
Daughter,Pearl Jam,53eJFr4Mfbw5PXJ01K6cFw,0.615,0.702,7,-9.686,1,0.0278,0.00746,0.00431,0.0608,0.734,96.987,spotify:track:53eJFr4Mfbw5PXJ01K6cFw,https://api.spotify.com/v1/tracks/53eJFr4Mfbw5PXJ01K6cFw,234333,nothot,https://open.spotify.com/track/53eJFr4Mfbw5PXJ01K6cFw
Melt!,Flying Lotus,3upL2OO5TRQXpxdyhK1RHf,0.694,0.833,4,-6.036,0,0.184,0.000246,0.761,0.108,0.241,192.11,spotify:track:3upL2OO5TRQXpxdyhK1RHf,https://api.spotify.com/v1/tracks/3upL2OO5TRQXpxdyhK1RHf,105413,nothot,https://open.spotify.com/track/3upL2OO5TRQXpxdyhK1RHf
Colossal,Wolfmother,0CGmq195XCryvfDtQJWcKQ,0.206,0.653,7,-3.141,1,0.0391,0.0102,4.26e-06,0.0794,0.141,72.313,spotify:track:0CGmq195XCryvfDtQJWcKQ,https://api.spotify.com/v1/tracks/0CGmq195XCryvfDtQJWcKQ,325333,nothot,https://open.spotify.com/track/0CGmq195XCryvfDtQJWcKQ
Generation Nintendo,Kyle Cease,00acpOFU3RPc7mPXuOoo0W,0.615,0.669,5,-8.485,1,0.904,0.776,0.0,0.44,0.559,82.54,spotify:track:00acpOFU3RPc7mPXuOoo0W,https://api.spotify.com/v1/tracks/00acpOFU3RPc7mPXuOoo0W,271200,nothot,https://open.spotify.com/track/00acpOFU3RPc7mPXuOoo0W
Unholy Confessions,Avenged Sevenfold,78XFPcFYN8YFOHjtVwnPsl,0.447,0.876,2,-5.446,0,0.066,0.000359,0.00103,0.255,0.532,92.535,spotify:track:78XFPcFYN8YFOHjtVwnPsl,https://api.spotify.com/v1/tracks/78XFPcFYN8YFOHjtVwnPsl,283827,nothot,https://open.spotify.com/track/78XFPcFYN8YFOHjtVwnPsl
Niño Soldado,Ska-P,40xa0CN0V4fEUlI2WCEjmU,0.621,0.978,7,-3.427,1,0.0906,0.000677,0.00029,0.179,0.546,110.964,spotify:track:40xa0CN0V4fEUlI2WCEjmU,https://api.spotify.com/v1/tracks/40xa0CN0V4fEUlI2WCEjmU,220200,nothot,https://open.spotify.com/track/40xa0CN0V4fEUlI2WCEjmU
Im Here Again,Thelma Houston,3ysxUnED2Cex4PPfLA9fRz,0.493,0.745,10,-7.489,0,0.193,0.266,6e-05,0.0976,0.537,121.684,spotify:track:3ysxUnED2Cex4PPfLA9fRz,https://api.spotify.com/v1/tracks/3ysxUnED2Cex4PPfLA9fRz,242760,nothot,https://open.spotify.com/track/3ysxUnED2Cex4PPfLA9fRz
Valerie,Amy Winehouse,6nLvaCZFR1wEzW3sIKpsnr,0.772,0.371,5,-5.743,0,0.0348,0.744,0.0,0.167,0.684,96.574,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,https://api.spotify.com/v1/tracks/6nLvaCZFR1wEzW3sIKpsnr,233733,nothot,https://open.spotify.com/track/6nLvaCZFR1wEzW3sIKpsnr
Rudy,Supertramp,4NZLRuEvCdmXUOdCAbp8dN,0.426,0.263,5,-16.098,0,0.0493,0.351,0.00291,0.384,0.25,134.673,spotify:track:4NZLRuEvCdmXUOdCAbp8dN,https://api.spotify.com/v1/tracks/4NZLRuEvCdmXUOdCAbp8dN,440834,nothot,https://open.spotify.com/track/4NZLRuEvCdmXUOdCAbp8dN
Shortly Before The End,Ok Go,23s2HxnkLUwIX7NaP4c0Yk,0.525,0.727,2,-7.365,1,0.0309,0.00282,0.173,0.0557,0.507,110.183,spotify:track:23s2HxnkLUwIX7NaP4c0Yk,https://api.spotify.com/v1/tracks/23s2HxnkLUwIX7NaP4c0Yk,259267,nothot,https://open.spotify.com/track/23s2HxnkLUwIX7NaP4c0Yk
Tone Bank Jungle,Holy Fuck,0o94yq1ZsffpGvZZzKgi5R,0.598,0.904,6,-7.784,1,0.0336,0.0183,0.595,0.161,0.526,113.877,spotify:track:0o94yq1ZsffpGvZZzKgi5R,https://api.spotify.com/v1/tracks/0o94yq1ZsffpGvZZzKgi5R,394827,nothot,https://open.spotify.com/track/0o94yq1ZsffpGvZZzKgi5R
Love To Hate You,Erasure,1l5cHCPvmMkbIWBhIktRzE,0.635,0.912,6,-6.013,0,0.0436,0.0303,0.00149,0.507,0.799,119.798,spotify:track:1l5cHCPvmMkbIWBhIktRzE,https://api.spotify.com/v1/tracks/1l5cHCPvmMkbIWBhIktRzE,236640,nothot,https://open.spotify.com/track/1l5cHCPvmMkbIWBhIktRzE
Like I Love You,Justin Timberlake,6W2Ef5Ph6ILTUAedoQ3QIv,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,spotify:track:6W2Ef5Ph6ILTUAedoQ3QIv,https://api.spotify.com/v1/tracks/6W2Ef5Ph6ILTUAedoQ3QIv,283627,nothot,https://open.spotify.com/track/6W2Ef5Ph6ILTUAedoQ3QIv
Code Monkey,Jonathan Coulton,3cLqK3LPVrTIzfENVmYLoU,0.583,0.619,4,-6.827,1,0.0443,0.172,0.0,0.0951,0.804,159.973,spotify:track:3cLqK3LPVrTIzfENVmYLoU,https://api.spotify.com/v1/tracks/3cLqK3LPVrTIzfENVmYLoU,189280,nothot,https://open.spotify.com/track/3cLqK3LPVrTIzfENVmYLoU
Black Mission Goggles,Man Man,1JyqwEC3qZZcKgzUW040qd,0.428,0.938,0,-5.086,0,0.0914,0.159,0.00155,0.195,0.231,123.554,spotify:track:1JyqwEC3qZZcKgzUW040qd,https://api.spotify.com/v1/tracks/1JyqwEC3qZZcKgzUW040qd,299880,nothot,https://open.spotify.com/track/1JyqwEC3qZZcKgzUW040qd
Three Hopeful Thoughts,Rilo Kiley,6YhvZg7FpgU46TIeduFceB,0.432,0.684,11,-6.714,1,0.0276,0.00192,0.00753,0.124,0.6,96.487,spotify:track:6YhvZg7FpgU46TIeduFceB,https://api.spotify.com/v1/tracks/6YhvZg7FpgU46TIeduFceB,170040,nothot,https://open.spotify.com/track/6YhvZg7FpgU46TIeduFceB
